"id","category","sub_category","year","end_year","country","region","country_income_group","sids","lldc","fcs","ida","recipient_institution","recipient_institution_type","implementing_agency","provider","provider_region","provider_country","provider_type","sector_name","program_scheme_project","fund_name","fund_type","bi_multi_code","allocable","type_of_aid","channel_code","gender","environment","biodiversity","ocean_oda","sustainable_ocean_oda","land_based_oda","plastic_oda","plastic_specific_oda","solid_waste_oda","wastewater_oda","ft_concessional_loan","ft_commercial_loan","ft_equity","ft_grant","ft_others","commitment","created_at","updated_at","sources_intermediaries","archetype","pathways","convertible_bonds","public_offering"
"1","public finance","MEA Finance","2020","2024","Ethiopia","Africa","Lower middle income","0","1","1","1","UNEP","Regional agency","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","Foundation","Post-Secondary Education","EkbgrlQsLMA0SEjn","Global Environment Facility (GEF4)","Multi Donor National","3","1","E01","22000",,"0","0","1","0","0","1","1","0","1","85","55","43","8","31","155","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Other Services","Supporting Pathways","96","71"
"2","public finance","Development Finance","2021","2020","Sweden","Europe","Lower middle income","1","1","1","1","Economic Affairs and Investment Division Ministry of Finance","Foundation","World Bank","UNEP","Africa","Kenya","Regional agency","Transport & Storage","HWYEj6aayXANjXkn","Adaptation Fund (AF)","Multi Donor Regional","1","0","E01","11001","1","0","0","1","1","0","1","1","0","1","78","83","99","10","75","686","10/10/2024 16:12:52","10/10/2024 16:12:52","International Monetary Fund (IMF)","Circular Use","Circular Pathways","94","99"
"3","private finance","Private Finance","2023","2020","France","Europe","Low income","1","1","0","1","Economic Affairs and Investment Division Ministry of Finance","National Institute","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","Non-profit regional funds","General Environment Protection","FMweP45ouU005IEg","Amazon Fund","Multi Donor National","4","0","C01","21000","0","0",,"1","1","1","1","1","1","0","84","25","12","42","49","272","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Circular Use","Circular Pathways","147","68"
"4","private finance","Private Finance","2018","2019","Indonesia","Asia","Low income","1","0","0","0","Economic Affairs and Investment Division Ministry of Finance","International Agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Government","Transport & Storage","YuZe6tJhgg86coAb","Amazon Fund","Multi Donor Regional","1","1","D02","22000","0","0","0","0","0","0","1","1","0","0","72","70","86","7","100","517","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Digital Mapping","Supporting Pathways","191","54"
"5","public finance","Development Finance","2021","2020","United States","North America","Lower middle income","0","0","1","1","UNEP","Regional Development Bank","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Government","Transport & Storage","S8pLJjzRvtPu5p3G","Global Climate Change Alliance (GCCA)","Multi Donor Regional","8","1","C01","11001","0","0",,"1","0","0","1","1","0","1","43","25","45","68","45","972","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Other Services","Supporting Pathways","102","83"
"6","public finance","Development Finance","2024","2023","United States","North America","Upper middle income","1","0","1","0","UNEP","Government","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Regional agency","General Environment Protection","CNprOCSy34Bb6IiB","Forest Investment Program (FIP)","Multilateral","4","1","B04","11001","2","1","1","1","0","0","0","0","0","1","96","100000","11","46","89","65200","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Research and Development","Supporting Pathways","154","196"
"7","public finance","MEA Finance","2022","2022","Mexico","Latin America and the Caribbean","Upper middle income","0","0","0","0","Ministry of Environment and Renewable Energy","International Agency","World Bank","UNEP","Africa","Kenya","Non-profit organization","General Environment Protection","rbC2fxDITPES2Xz2","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor National","4","0","E01","22000","1",,"2","1","0","0","1","0","0","1","77","58","55","25000","66","957","10/10/2024 16:12:52","10/10/2024 16:12:52","European Union Institution","Recovery for controlled disposal","Non-circular Pathways","120","157"
"8","public finance","Development Finance","2024","2023","Ethiopia","Africa","High income","1","0","1","0","UNEP","Intergovernmental Organisation","World Bank","South Korea","Asia","South Korea","Government","Transport & Storage","jdGeROHUBgwZykcl","Amazon Fund","Multilateral","4","0","D01","11001","1","2","2","1","1","1","1","1","1","1","90","58","72","65","58","212","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Circular Design and Production","Circular Pathways","50","127"
"9","public finance","Domestic Finance","2020","2022","Australia","Oceania","Low income","1","1","0","0","UNEP","Research Institute","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Non-profit organization","Transport & Storage","I3VzP6dvySvNiIHw","Adaptation for Smallholder Agriculture Programme (ASAP)","Multilateral","1","1","D01","41107","1",,"0","0","1","0","1","0","0","1","21","15","50","82","97","759","10/10/2024 16:12:52","10/10/2024 16:12:52","Local Government","Digital Mapping","Supporting Pathways","165","68"
"10","public finance","Development Finance","2022","2024","France","Europe","Low income","0","0","1","1","Ministry of Environment and Renewable Energy","Intergovernmental Organisation","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Foundation","Post-Secondary Education","ED8a7C60rhva2bKL","Forest Investment Program (FIP)","Multi Donor National","8","0","C01","11001","1","0","0","0","0","1","0","0","0","0","80","36","47","77","93","718","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Circular Use","Circular Pathways","175","129"
"11","public finance","MEA Finance","2020","2020","India","Asia","High income","0","1","0","1","UNEP","Non-profit regional funds","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Non-profit regional funds","Post-Secondary Education","qNIM9YQwmAm2VaSx","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multilateral","3","0","D02","22000",,"2","2","1","1","1","0","0","1","0","71","98","33","82","41","991","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Circular Design and Production","Circular Pathways","85","179"
"12","private finance","Private Finance","2018","2024","Fiji","Oceania","High income","1","1","0","1","Ministry of Environment and Renewable Energy","Regional Development Bank","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","Non-profit organization","Post-Secondary Education","tJ9eyjL6Q04fMrT6","Adaptation Fund (AF)","Multi Donor National","1","0","C01","11001","1",,,"1","1","1","0","1","1","0","78","7","44","12","11","861","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Plastic Waste-to-Energy","Non-circular Pathways","166","161"
"13","public finance","MEA Finance","2023","2021","Chile","Latin America and the Caribbean","High income","1","1","0","0","UNEP","Intergovernmental Organisation","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Government agency","Water Supply & Sanitation","Ff2omstQmUYCC1XN","Global Climate Change Alliance (GCCA)","Multilateral","3","0","D02","21000","2","2","1","0","0","0","0","1","1","0","42","25","8","34","51","732","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Incineration","Non-circular Pathways","61","38"
"14","public finance","MEA Finance","2018","2021","Australia","Oceania","High income","1","0","0","0","Ministry of Environment and Renewable Energy","Non-profit regional funds","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","International Agency","Water Supply & Sanitation","WICKr808iWmyAxwB","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","3","0","B03","22000","2",,"0","1","1","1","0","0","0","1","18","49","43","81","40","359","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Plastic Waste-to-Energy","Non-circular Pathways","133","170"
"15","private finance","Private Finance","2023","2019","Malaysia","Asia","Upper middle income","0","0","1","1","UNEP","National Institute","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Non-profit organization","Water Supply & Sanitation","qK2AX7i6yXUxptj3","Global Environment Facility (GEF4)","Multi Donor National","8","0","D02","41107","1","1",,"0","1","0","1","0","0","0","79","100","59","88","92","453","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Digital Mapping","Supporting Pathways","163","99"
"16","public finance","Development Finance","2020","2019","Australia","Oceania","High income","0","0","0","0","UNEP","National Institute","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Intergovernmental Organisation","General Environment Protection","fbIhpuKcG0x9DO46","Amazon Fund","Multilateral","8","0","D02","11001","2","1",,"1","0","1","0","1","0","1","82","54","77","51","61","325","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Other Services","Supporting Pathways","140","49"
"17","public finance","Development Finance","2024","2022","New Zealand","Oceania","Upper middle income","0","1","1","1","Economic Affairs and Investment Division Ministry of Finance","National Institute","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Government","Post-Secondary Education","JTtVUybdbcrxxpUc","Adaptation for Smallholder Agriculture Programme (ASAP)","Multilateral","1","0","C01","21000","1",,,"0","1","0","0","0","0","1","74","84","35","60","79","577","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Clean-up","Non-circular Pathways","153","163"
"18","private finance","Private Finance","2021","2019","Argentina","Latin America and the Caribbean","High income","1","0","1","1","Economic Affairs and Investment Division Ministry of Finance","International Agency","World Bank","Sweden","Europe","Sweden","Regional Government","Transport & Storage","ecwlTNM5RS9fqyYI","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor National","1","1","C01","11001","1","2","2","1","1","1","1","1","1","1","90","99","70","32","54","493","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Training/ Capacity Building/ Education","Supporting Pathways","129","197"
"19","public finance","Development Finance","2020","2022","Fiji","Oceania","Upper middle income","0","0","1","1","Economic Affairs and Investment Division Ministry of Finance","Government agency","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Corporation","General Environment Protection","HLvYKpEBnhWCYvQm","Adaptation for Smallholder Agriculture Programme (ASAP)","Multilateral","3","0","B03","22000","0",,"1","1","0","1","0","1","0","1","69","21","55","87","24","308","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Circular Design and Production","Circular Pathways","117","172"
"20","public finance","Domestic Finance","2022","2022","Spain","Europe","Low income","0","0","1","0","Ministry of Environment and Renewable Energy","Research Institute","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Non-profit regional funds","Transport & Storage","pa9kCQHaJz6XygOR","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor National","7","1","D01","22000",,"2","1","0","1","1","1","0","0","0","35","60","73","46","7","710","10/10/2024 16:12:52","10/10/2024 16:12:52","Other MEAs","Plastic Waste-to-Energy","Non-circular Pathways","145","65"
"21","public finance","Development Finance","2019","2019","Kenya","Africa","Low income","0","0","0","1","UNEP","Government agency","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","National Institute","General Environment Protection","xL5FvTXMaci2oXOO","Forest Investment Program (FIP)","Multilateral","1","0","B04","21000","1",,"1","0","0","0","0","0","1","0","16","73","9","6","26","878","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Operational Platforms","Supporting Pathways","128","178"
"22","public finance","MEA Finance","2022","2022","Fiji","Oceania","High income","1","0","0","0","Economic Affairs and Investment Division Ministry of Finance","Regional Development Bank","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Regional agency","Post-Secondary Education","dwXdjSgFBGMYr241","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","8","0","C01","11001","0","1","1","1","1","1","0","0","0","1","73","27","5","75","91","931","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Circular Design and Production","Circular Pathways","111","104"
"23","private finance","Private Finance","2020","2021","Chile","Latin America and the Caribbean","Low income","1","1","0","0","Ministry of Environment and Renewable Energy","Regional agency","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Government agency","Water Supply & Sanitation","i8qeFcrr7bjpE7mZ","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","7","1","D01","21000",,"2","0","1","1","1","0","0","0","0","7","86","42","98","23","341","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Public Entities","Plastic Waste-to-Energy","Non-circular Pathways","110","190"
"24","private finance","Private Finance","2021","2022","Cuba","Latin America and the Caribbean","Lower middle income","1","0","0","1","UNEP","Research Institute","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","International Agency","Transport & Storage","rEkv3TMGBez4BKYt","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multilateral","1","0","D02","22000","0",,"0","0","0","0","0","0","1","0","75","79","8","25","59","626","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Research and Development","Supporting Pathways","187","13"
